audio_id,recording_lang,BitsPerSample,durationMsec,speaker_gender,mother_tongue
220825-172540_toi_0ae_elicit_32,toi,16,12909,Male,toi
220825-172540_toi_0ae_elicit_33,toi,16,2586,Male,toi
220825-172540_toi_0ae_elicit_34,toi,16,1474,Male,toi
220825-172540_toi_0ae_elicit_35,toi,16,2472,Male,toi
220825-172540_toi_0ae_elicit_36,toi,16,3062,Male,toi
220825-172540_toi_0ae_elicit_37,toi,16,2541,Male,toi
220825-172540_toi_0ae_elicit_38,toi,16,3720,Male,toi
220825-172540_toi_0ae_elicit_39,toi,16,2359,Male,toi
220825-172540_toi_0ae_elicit_4,toi,16,3539,Male,toi
220825-172540_toi_0ae_elicit_40,toi,16,1520,Male,toi
220825-172540_toi_0ae_elicit_41,toi,16,3380,Male,toi
220825-172540_toi_0ae_elicit_42,toi,16,3017,Male,toi
220825-172540_toi_0ae_elicit_43,toi,16,1724,Male,toi
220825-172540_toi_0ae_elicit_44,toi,16,3652,Male,toi
220825-172540_toi_0ae_elicit_45,toi,16,4900,Male,toi
220825-172540_toi_0ae_elicit_46,toi,16,2745,Male,toi
220825-172540_toi_0ae_elicit_47,toi,16,4787,Male,toi
220825-172540_toi_0ae_elicit_48,toi,16,2404,Male,toi
220825-172540_toi_0ae_elicit_49,toi,16,3539,Male,toi
220825-172540_toi_0ae_elicit_5,toi,16,3108,Male,toi
220825-172540_toi_0ae_elicit_6,toi,16,1678,Male,toi
220825-172540_toi_0ae_elicit_7,toi,16,4015,Male,toi
220825-172540_toi_0ae_elicit_8,toi,16,2563,Male,toi
220825-172540_toi_0ae_elicit_9,toi,16,2835,Male,toi
220825-174423_toi_0ae_elicit_0,toi,16,2745,Male,toi
220825-174423_toi_0ae_elicit_1,toi,16,2586,Male,toi
220825-174423_toi_0ae_elicit_10,toi,16,3675,Male,toi
220825-174423_toi_0ae_elicit_11,toi,16,3607,Male,toi
220825-174423_toi_0ae_elicit_12,toi,16,3924,Male,toi
220825-174423_toi_0ae_elicit_13,toi,16,3720,Male,toi
220825-174423_toi_0ae_elicit_14,toi,16,2563,Male,toi
220825-174423_toi_0ae_elicit_15,toi,16,4287,Male,toi
220825-174423_toi_0ae_elicit_16,toi,16,4174,Male,toi
220825-174423_toi_0ae_elicit_17,toi,16,2722,Male,toi
220825-174423_toi_0ae_elicit_18,toi,16,2904,Male,toi
220825-174423_toi_0ae_elicit_19,toi,16,2972,Male,toi
220825-174423_toi_0ae_elicit_2,toi,16,2472,Male,toi
220825-174423_toi_0ae_elicit_20,toi,16,2087,Male,toi
220825-174423_toi_0ae_elicit_21,toi,16,2382,Male,toi
220825-174423_toi_0ae_elicit_22,toi,16,1497,Male,toi
220825-174423_toi_0ae_elicit_23,toi,16,2972,Male,toi
220825-174423_toi_0ae_elicit_24,toi,16,2790,Male,toi
220825-174423_toi_0ae_elicit_25,toi,16,3448,Male,toi
220825-174423_toi_0ae_elicit_26,toi,16,2178,Male,toi
220825-174423_toi_0ae_elicit_27,toi,16,3720,Male,toi
220825-174423_toi_0ae_elicit_28,toi,16,3289,Male,toi
220825-174423_toi_0ae_elicit_29,toi,16,3766,Male,toi
220825-174423_toi_0ae_elicit_3,toi,16,1565,Male,toi
220825-174423_toi_0ae_elicit_30,toi,16,2359,Male,toi
220825-174423_toi_0ae_elicit_31,toi,16,3924,Male,toi
220825-174423_toi_0ae_elicit_32,toi,16,3743,Male,toi
220825-174423_toi_0ae_elicit_33,toi,16,2563,Male,toi
220825-174423_toi_0ae_elicit_34,toi,16,7282,Male,toi
220825-174423_toi_0ae_elicit_35,toi,16,8144,Male,toi
220825-174423_toi_0ae_elicit_36,toi,16,5785,Male,toi
220825-174423_toi_0ae_elicit_37,toi,16,1996,Male,toi
220825-174423_toi_0ae_elicit_38,toi,16,2155,Male,toi
220825-174423_toi_0ae_elicit_39,toi,16,3947,Male,toi
220825-174423_toi_0ae_elicit_4,toi,16,3924,Male,toi
220825-174423_toi_0ae_elicit_40,toi,16,3130,Male,toi
220825-174423_toi_0ae_elicit_41,toi,16,4628,Male,toi
220825-174423_toi_0ae_elicit_42,toi,16,4219,Male,toi
220825-174423_toi_0ae_elicit_43,toi,16,5853,Male,toi
220825-174423_toi_0ae_elicit_44,toi,16,4991,Male,toi
220825-174423_toi_0ae_elicit_45,toi,16,4129,Male,toi
220825-174423_toi_0ae_elicit_46,toi,16,3811,Male,toi
220825-174423_toi_0ae_elicit_47,toi,16,6624,Male,toi
220825-174423_toi_0ae_elicit_48,toi,16,2041,Male,toi
220825-174423_toi_0ae_elicit_49,toi,16,4605,Male,toi
220825-174423_toi_0ae_elicit_5,toi,16,1565,Male,toi
220825-174423_toi_0ae_elicit_6,toi,16,4945,Male,toi
220825-174423_toi_0ae_elicit_7,toi,16,4514,Male,toi
220825-174423_toi_0ae_elicit_8,toi,16,1746,Male,toi
220825-174423_toi_0ae_elicit_9,toi,16,1905,Male,toi
220825-180654_toi_0ae_elicit_0,toi,16,1610,Male,toi
220825-180654_toi_0ae_elicit_1,toi,16,4015,Male,toi
220825-180654_toi_0ae_elicit_10,toi,16,2268,Male,toi
220825-180654_toi_0ae_elicit_11,toi,16,4265,Male,toi
220825-180654_toi_0ae_elicit_12,toi,16,3176,Male,toi
220825-180654_toi_0ae_elicit_13,toi,16,2268,Male,toi
220825-180654_toi_0ae_elicit_14,toi,16,4151,Male,toi
220825-180654_toi_0ae_elicit_15,toi,16,2677,Male,toi
220825-180654_toi_0ae_elicit_16,toi,16,2790,Male,toi
220825-180654_toi_0ae_elicit_17,toi,16,1905,Male,toi
220825-180654_toi_0ae_elicit_18,toi,16,4219,Male,toi
220825-180654_toi_0ae_elicit_19,toi,16,1973,Male,toi
220825-180654_toi_0ae_elicit_2,toi,16,3720,Male,toi
220825-180654_toi_0ae_elicit_20,toi,16,2200,Male,toi
220825-180654_toi_0ae_elicit_21,toi,16,3516,Male,toi
220825-180654_toi_0ae_elicit_22,toi,16,3493,Male,toi
220825-180654_toi_0ae_elicit_23,toi,16,2450,Male,toi
220825-180654_toi_0ae_elicit_24,toi,16,5218,Male,toi
220825-180654_toi_0ae_elicit_25,toi,16,2472,Male,toi
220825-180654_toi_0ae_elicit_26,toi,16,3561,Male,toi
220825-180654_toi_0ae_elicit_27,toi,16,1769,Male,toi
220825-180654_toi_0ae_elicit_28,toi,16,4469,Male,toi
220825-180654_toi_0ae_elicit_29,toi,16,2586,Male,toi
220825-180654_toi_0ae_elicit_3,toi,16,2609,Male,toi
220825-180654_toi_0ae_elicit_30,toi,16,3516,Male,toi
220825-180654_toi_0ae_elicit_31,toi,16,3720,Male,toi
220825-180654_toi_0ae_elicit_32,toi,16,2223,Male,toi
220825-180654_toi_0ae_elicit_33,toi,16,3357,Male,toi
220825-180654_toi_0ae_elicit_34,toi,16,2790,Male,toi
220825-180654_toi_0ae_elicit_35,toi,16,1497,Male,toi
220825-180654_toi_0ae_elicit_36,toi,16,4265,Male,toi
220825-180654_toi_0ae_elicit_37,toi,16,2472,Male,toi
220825-180654_toi_0ae_elicit_38,toi,16,3539,Male,toi
220825-180654_toi_0ae_elicit_39,toi,16,2858,Male,toi
220825-180654_toi_0ae_elicit_4,toi,16,4174,Male,toi
220825-180654_toi_0ae_elicit_40,toi,16,2790,Male,toi
220825-180654_toi_0ae_elicit_5,toi,16,4446,Male,toi
220825-180654_toi_0ae_elicit_6,toi,16,3584,Male,toi
220825-180654_toi_0ae_elicit_7,toi,16,3448,Male,toi
220825-180654_toi_0ae_elicit_8,toi,16,2699,Male,toi
220825-180654_toi_0ae_elicit_9,toi,16,4719,Male,toi
220828-202103_toi_707_elicit_0,toi,16,9732,Female,toi
220828-202103_toi_707_elicit_1,toi,16,10504,Female,toi
220828-202103_toi_707_elicit_10,toi,16,14474,Female,toi
220828-202103_toi_707_elicit_11,toi,16,9710,Female,toi
220828-202103_toi_707_elicit_12,toi,16,6329,Female,toi
220828-202103_toi_707_elicit_13,toi,16,6624,Female,toi
220828-202103_toi_707_elicit_15,toi,16,11525,Female,toi
220828-202103_toi_707_elicit_16,toi,16,7396,Female,toi
220828-202103_toi_707_elicit_17,toi,16,10958,Female,toi
220828-202103_toi_707_elicit_18,toi,16,9097,Female,toi
220828-202103_toi_707_elicit_19,toi,16,5876,Female,toi
220828-202103_toi_707_elicit_2,toi,16,4310,Female,toi
220828-202103_toi_707_elicit_20,toi,16,7804,Female,toi
220828-202103_toi_707_elicit_21,toi,16,7804,Female,toi
220828-202103_toi_707_elicit_22,toi,16,7963,Female,toi
220828-202103_toi_707_elicit_23,toi,16,15835,Female,toi
220828-202103_toi_707_elicit_24,toi,16,12387,Female,toi
220828-202103_toi_707_elicit_25,toi,16,6329,Female,toi
220828-202103_toi_707_elicit_26,toi,16,4832,Female,toi
220828-202103_toi_707_elicit_27,toi,16,6171,Female,toi
220828-202103_toi_707_elicit_28,toi,16,8916,Female,toi
220828-202103_toi_707_elicit_29,toi,16,5104,Female,toi
220828-202103_toi_707_elicit_3,toi,16,7963,Female,toi
220828-202103_toi_707_elicit_30,toi,16,11979,Female,toi
220828-202103_toi_707_elicit_31,toi,16,6012,Female,toi
220828-202103_toi_707_elicit_32,toi,16,9460,Female,toi
220828-202103_toi_707_elicit_33,toi,16,5467,Female,toi
220828-202103_toi_707_elicit_34,toi,16,11706,Female,toi
220828-202103_toi_707_elicit_35,toi,16,7554,Female,toi
220828-202103_toi_707_elicit_36,toi,16,5218,Female,toi
220828-202103_toi_707_elicit_37,toi,16,4764,Female,toi
220828-202103_toi_707_elicit_38,toi,16,7804,Female,toi
220828-202103_toi_707_elicit_39,toi,16,5286,Female,toi
220828-202103_toi_707_elicit_4,toi,16,6511,Female,toi
220828-202103_toi_707_elicit_40,toi,16,5104,Female,toi
220828-202103_toi_707_elicit_41,toi,16,7010,Female,toi
220828-202103_toi_707_elicit_42,toi,16,9006,Female,toi
220828-202103_toi_707_elicit_43,toi,16,7623,Female,toi
220828-202103_toi_707_elicit_44,toi,16,5944,Female,toi
220828-202103_toi_707_elicit_45,toi,16,4968,Female,toi
220828-202103_toi_707_elicit_46,toi,16,5944,Female,toi
220828-202103_toi_707_elicit_47,toi,16,6284,Female,toi
220828-202103_toi_707_elicit_48,toi,16,5331,Female,toi
220828-202103_toi_707_elicit_49,toi,16,8439,Female,toi
220828-202103_toi_707_elicit_6,toi,16,5603,Female,toi
220828-202103_toi_707_elicit_7,toi,16,9801,Female,toi
220828-202103_toi_707_elicit_9,toi,16,9256,Female,toi
220829-113143_toi_0ae_elicit_41,toi,16,2790,Male,toi
220829-113143_toi_0ae_elicit_42,toi,16,4900,Male,toi
220829-113143_toi_0ae_elicit_43,toi,16,1111,Male,toi
220829-113143_toi_0ae_elicit_44,toi,16,3448,Male,toi
220829-113143_toi_0ae_elicit_45,toi,16,1883,Male,toi
220829-113143_toi_0ae_elicit_46,toi,16,1542,Male,toi
220829-113143_toi_0ae_elicit_47,toi,16,4401,Male,toi
220829-113143_toi_0ae_elicit_48,toi,16,3584,Male,toi
220829-113143_toi_0ae_elicit_49,toi,16,4469,Male,toi
220829-113431_toi_0ae_elicit_0,toi,16,3856,Male,toi
220829-113431_toi_0ae_elicit_1,toi,16,4696,Male,toi
220829-113431_toi_0ae_elicit_10,toi,16,2314,Male,toi
220829-113431_toi_0ae_elicit_11,toi,16,1928,Male,toi
220829-113431_toi_0ae_elicit_12,toi,16,2563,Male,toi
220829-113431_toi_0ae_elicit_13,toi,16,9642,Male,toi
220829-113431_toi_0ae_elicit_14,toi,16,2631,Male,toi
220829-113431_toi_0ae_elicit_15,toi,16,2064,Male,toi
220829-113431_toi_0ae_elicit_16,toi,16,2767,Male,toi
220829-113431_toi_0ae_elicit_17,toi,16,4991,Male,toi
220829-113431_toi_0ae_elicit_18,toi,16,3493,Male,toi
220829-113431_toi_0ae_elicit_19,toi,16,3561,Male,toi
220829-113431_toi_0ae_elicit_2,toi,16,5944,Male,toi
220829-113431_toi_0ae_elicit_20,toi,16,3584,Male,toi
220829-113431_toi_0ae_elicit_21,toi,16,4560,Male,toi
220829-113431_toi_0ae_elicit_22,toi,16,3335,Male,toi
220829-113431_toi_0ae_elicit_23,toi,16,1973,Male,toi
220829-113431_toi_0ae_elicit_24,toi,16,3924,Male,toi
220829-113431_toi_0ae_elicit_25,toi,16,1134,Male,toi
220829-113431_toi_0ae_elicit_26,toi,16,4015,Male,toi
220829-113431_toi_0ae_elicit_27,toi,16,3289,Male,toi
220829-113431_toi_0ae_elicit_28,toi,16,1157,Male,toi
220829-113431_toi_0ae_elicit_29,toi,16,7713,Male,toi
220829-113431_toi_0ae_elicit_3,toi,16,3130,Male,toi
220829-113431_toi_0ae_elicit_30,toi,16,3130,Male,toi
220829-113431_toi_0ae_elicit_31,toi,16,1701,Male,toi
220829-113431_toi_0ae_elicit_32,toi,16,3471,Male,toi
220829-113431_toi_0ae_elicit_33,toi,16,1973,Male,toi
220829-113431_toi_0ae_elicit_34,toi,16,4015,Male,toi
220829-113431_toi_0ae_elicit_35,toi,16,3312,Male,toi
220829-113431_toi_0ae_elicit_36,toi,16,6171,Male,toi
220829-113431_toi_0ae_elicit_37,toi,16,1973,Male,toi
220829-113431_toi_0ae_elicit_38,toi,16,2745,Male,toi
220829-113431_toi_0ae_elicit_39,toi,16,4628,Male,toi
220829-113431_toi_0ae_elicit_4,toi,16,6965,Male,toi
220829-113431_toi_0ae_elicit_40,toi,16,1678,Male,toi
220829-113431_toi_0ae_elicit_41,toi,16,4356,Male,toi
220829-113431_toi_0ae_elicit_42,toi,16,2994,Male,toi
220829-113431_toi_0ae_elicit_43,toi,16,3630,Male,toi
220829-113431_toi_0ae_elicit_44,toi,16,4877,Male,toi
220829-113431_toi_0ae_elicit_45,toi,16,3267,Male,toi
220829-113431_toi_0ae_elicit_46,toi,16,1452,Male,toi
220829-113431_toi_0ae_elicit_47,toi,16,6465,Male,toi
220829-113431_toi_0ae_elicit_48,toi,16,3176,Male,toi
220829-113431_toi_0ae_elicit_49,toi,16,2949,Male,toi
220829-113431_toi_0ae_elicit_5,toi,16,4991,Male,toi
220829-113431_toi_0ae_elicit_6,toi,16,4492,Male,toi
220829-113431_toi_0ae_elicit_7,toi,16,6534,Male,toi
220829-113431_toi_0ae_elicit_8,toi,16,2064,Male,toi
220829-113431_toi_0ae_elicit_9,toi,16,3403,Male,toi
220829-115108_toi_0ae_elicit_0,toi,16,6624,Male,toi
220829-115108_toi_0ae_elicit_1,toi,16,2246,Male,toi
220829-115108_toi_0ae_elicit_10,toi,16,4719,Male,toi
220829-115108_toi_0ae_elicit_11,toi,16,4356,Male,toi
220829-115108_toi_0ae_elicit_12,toi,16,3856,Male,toi
220829-115108_toi_0ae_elicit_13,toi,16,9891,Male,toi
220829-115108_toi_0ae_elicit_14,toi,16,6534,Male,toi
220829-115108_toi_0ae_elicit_15,toi,16,2881,Male,toi
220829-115108_toi_0ae_elicit_16,toi,16,7963,Male,toi
220829-115108_toi_0ae_elicit_17,toi,16,2813,Male,toi
220829-115108_toi_0ae_elicit_18,toi,16,3380,Male,toi
220829-115108_toi_0ae_elicit_19,toi,16,6284,Male,toi
220829-115108_toi_0ae_elicit_2,toi,16,9143,Male,toi
220829-115108_toi_0ae_elicit_20,toi,16,3357,Male,toi
220829-115108_toi_0ae_elicit_21,toi,16,3584,Male,toi
220829-115108_toi_0ae_elicit_22,toi,16,1452,Male,toi
220829-115108_toi_0ae_elicit_23,toi,16,2246,Male,toi
220829-115108_toi_0ae_elicit_24,toi,16,3652,Male,toi
220829-115108_toi_0ae_elicit_25,toi,16,1452,Male,toi
220829-115108_toi_0ae_elicit_26,toi,16,2654,Male,toi
220829-115108_toi_0ae_elicit_27,toi,16,3834,Male,toi
220829-115108_toi_0ae_elicit_28,toi,16,2178,Male,toi
220829-115108_toi_0ae_elicit_29,toi,16,2450,Male,toi
220829-115108_toi_0ae_elicit_3,toi,16,2291,Male,toi
220829-115108_toi_0ae_elicit_30,toi,16,5785,Male,toi
220829-115108_toi_0ae_elicit_31,toi,16,5603,Male,toi
220829-115108_toi_0ae_elicit_32,toi,16,2495,Male,toi
220829-115108_toi_0ae_elicit_33,toi,16,8054,Male,toi
220829-115108_toi_0ae_elicit_34,toi,16,3153,Male,toi
220829-115108_toi_0ae_elicit_35,toi,16,3993,Male,toi
220829-115108_toi_0ae_elicit_36,toi,16,4832,Male,toi
220829-115108_toi_0ae_elicit_37,toi,16,2200,Male,toi
220829-115108_toi_0ae_elicit_38,toi,16,3108,Male,toi
220829-115108_toi_0ae_elicit_39,toi,16,2132,Male,toi
220829-115108_toi_0ae_elicit_4,toi,16,4083,Male,toi
220829-115108_toi_0ae_elicit_40,toi,16,6534,Male,toi
220829-115108_toi_0ae_elicit_41,toi,16,3017,Male,toi
220829-115108_toi_0ae_elicit_42,toi,16,7872,Male,toi
220829-115108_toi_0ae_elicit_43,toi,16,1542,Male,toi
220829-115108_toi_0ae_elicit_44,toi,16,3924,Male,toi
220829-115108_toi_0ae_elicit_45,toi,16,3516,Male,toi
220829-115108_toi_0ae_elicit_46,toi,16,2994,Male,toi
220829-115108_toi_0ae_elicit_47,toi,16,2972,Male,toi
220829-115108_toi_0ae_elicit_48,toi,16,1951,Male,toi
220829-115108_toi_0ae_elicit_49,toi,16,2904,Male,toi
220829-115108_toi_0ae_elicit_5,toi,16,2404,Male,toi
220829-115108_toi_0ae_elicit_6,toi,16,1883,Male,toi
220829-115108_toi_0ae_elicit_7,toi,16,3085,Male,toi
220829-115108_toi_0ae_elicit_8,toi,16,3425,Male,toi
220829-115108_toi_0ae_elicit_9,toi,16,2972,Male,toi
220829-121211_toi_0ae_elicit_0,toi,16,2246,Male,toi
220829-121211_toi_0ae_elicit_1,toi,16,3017,Male,toi
220829-121211_toi_0ae_elicit_2,toi,16,1678,Male,toi
220829-121211_toi_0ae_elicit_3,toi,16,4197,Male,toi
220829-121211_toi_0ae_elicit_4,toi,16,2359,Male,toi
220829-121211_toi_0ae_elicit_5,toi,16,4265,Male,toi
220829-121211_toi_0ae_elicit_6,toi,16,3335,Male,toi
220829-121443_toi_0ae_elicit_10,toi,16,6443,Male,toi
220829-121443_toi_0ae_elicit_11,toi,16,1678,Male,toi
220829-121443_toi_0ae_elicit_12,toi,16,1860,Male,toi
220829-121443_toi_0ae_elicit_13,toi,16,4605,Male,toi
220829-121443_toi_0ae_elicit_14,toi,16,2109,Male,toi
220829-121443_toi_0ae_elicit_15,toi,16,2064,Male,toi
220829-121443_toi_0ae_elicit_16,toi,16,4741,Male,toi
220829-121443_toi_0ae_elicit_17,toi,16,2813,Male,toi
220829-121443_toi_0ae_elicit_18,toi,16,6942,Male,toi
220829-121443_toi_0ae_elicit_19,toi,16,3970,Male,toi
220829-121443_toi_0ae_elicit_20,toi,16,2745,Male,toi
220829-121443_toi_0ae_elicit_21,toi,16,2563,Male,toi
220829-121443_toi_0ae_elicit_22,toi,16,4265,Male,toi
220829-121443_toi_0ae_elicit_23,toi,16,4582,Male,toi
220829-121443_toi_0ae_elicit_24,toi,16,1860,Male,toi
220829-121443_toi_0ae_elicit_25,toi,16,4877,Male,toi
220829-121443_toi_0ae_elicit_26,toi,16,3289,Male,toi
220829-121443_toi_0ae_elicit_27,toi,16,3062,Male,toi
220829-121443_toi_0ae_elicit_28,toi,16,3675,Male,toi
220829-121443_toi_0ae_elicit_29,toi,16,3335,Male,toi
220829-121443_toi_0ae_elicit_30,toi,16,4219,Male,toi
220829-121443_toi_0ae_elicit_31,toi,16,6738,Male,toi
220829-121443_toi_0ae_elicit_32,toi,16,1769,Male,toi
220829-121443_toi_0ae_elicit_33,toi,16,8621,Male,toi
220829-121443_toi_0ae_elicit_34,toi,16,2745,Male,toi
220829-121443_toi_0ae_elicit_35,toi,16,2790,Male,toi
220829-121443_toi_0ae_elicit_36,toi,16,5218,Male,toi
220829-121443_toi_0ae_elicit_37,toi,16,2291,Male,toi
220829-121443_toi_0ae_elicit_38,toi,16,4492,Male,toi
220829-121443_toi_0ae_elicit_39,toi,16,2404,Male,toi
220829-121443_toi_0ae_elicit_40,toi,16,2064,Male,toi
220829-121443_toi_0ae_elicit_41,toi,16,2767,Male,toi
220829-121443_toi_0ae_elicit_42,toi,16,3312,Male,toi
220829-121443_toi_0ae_elicit_43,toi,16,4083,Male,toi
220829-121443_toi_0ae_elicit_44,toi,16,2881,Male,toi
220829-121443_toi_0ae_elicit_45,toi,16,3471,Male,toi
220829-121443_toi_0ae_elicit_46,toi,16,4446,Male,toi
220829-121443_toi_0ae_elicit_47,toi,16,4310,Male,toi
220829-121443_toi_0ae_elicit_48,toi,16,3561,Male,toi
220829-121443_toi_0ae_elicit_49,toi,16,2246,Male,toi
220829-121443_toi_0ae_elicit_7,toi,16,5150,Male,toi
220829-121443_toi_0ae_elicit_8,toi,16,4219,Male,toi
220829-121443_toi_0ae_elicit_9,toi,16,3448,Male,toi
220829-123253_toi_0ae_elicit_0,toi,16,5739,Male,toi
220829-123253_toi_0ae_elicit_1,toi,16,2404,Male,toi
220829-123253_toi_0ae_elicit_2,toi,16,1996,Male,toi
220829-123253_toi_0ae_elicit_3,toi,16,2745,Male,toi
220829-123253_toi_0ae_elicit_4,toi,16,2813,Male,toi
220829-123454_toi_0ae_elicit_10,toi,16,2926,Male,toi
220829-123454_toi_0ae_elicit_11,toi,16,8349,Male,toi
220829-123454_toi_0ae_elicit_12,toi,16,2563,Male,toi
220829-123454_toi_0ae_elicit_13,toi,16,3879,Male,toi
220829-123454_toi_0ae_elicit_14,toi,16,3244,Male,toi
220829-123454_toi_0ae_elicit_15,toi,16,4605,Male,toi
220829-123454_toi_0ae_elicit_16,toi,16,4787,Male,toi
220829-123454_toi_0ae_elicit_17,toi,16,2631,Male,toi
220829-123454_toi_0ae_elicit_18,toi,16,2563,Male,toi
220829-123454_toi_0ae_elicit_19,toi,16,6239,Male,toi
220829-123454_toi_0ae_elicit_20,toi,16,7895,Male,toi
220829-123454_toi_0ae_elicit_21,toi,16,2926,Male,toi
220829-123454_toi_0ae_elicit_22,toi,16,3947,Male,toi
220829-123454_toi_0ae_elicit_23,toi,16,2472,Male,toi
220829-123454_toi_0ae_elicit_24,toi,16,1633,Male,toi
220829-123454_toi_0ae_elicit_25,toi,16,1860,Male,toi
220829-123454_toi_0ae_elicit_26,toi,16,4605,Male,toi
220829-123454_toi_0ae_elicit_27,toi,16,2767,Male,toi
220829-123454_toi_0ae_elicit_28,toi,16,5944,Male,toi
220829-123454_toi_0ae_elicit_29,toi,16,4719,Male,toi
220829-123454_toi_0ae_elicit_30,toi,16,4015,Male,toi
220829-123454_toi_0ae_elicit_31,toi,16,3698,Male,toi
220829-123454_toi_0ae_elicit_32,toi,16,1996,Male,toi
