audio_id	sentence
220820-113505_loz_006_elicit_6	kakuli na kupile sibaka kwa baluti kono fa mongu ba fundukile la 5 kandao 1945 
220820-113505_loz_006_elicit_7	ba sali ku zwela kwanu ha ba si ka ñola konji la 4 njimwana 1945 
220820-113505_loz_006_elicit_8	liñolo la bona ne li zwa kwa broken hill kono muñolo a ki wa bona ki wa basali ba bona 
220820-113505_loz_006_elicit_9	ziki a buza libizo la musal a nongolo kuli a li zibe 
220820-113505_loz_006_elicit_10	sandala a taluseza ziki kuli libizo la mulamwac ki njolo 
220820-113505_loz_006_elicit_11	cale ki bao bo sandala ba kena mwa lipuzo ze zwa ku ziki 
220820-113505_loz_006_elicit_12	ziki u ziba cwani kuli muñolo ki wa njolo isini wa nongolo 
220820-113505_loz_006_elicit_13	wa kona ku tisa liñolo leo ni mañolo a na ñolanga yena nongolo ka sibili 
220820-113505_loz_006_elicit_14	sandala na sepa na kona kakuli ba a bulukanga bo ndate 
220820-113505_loz_006_elicit_15	bo ndatahe sandala ba tisa mañolo a ne ba bulukile kaufela 
220820-113505_loz_006_elicit_16	ku ona ziki a fumana kuli luli ne ku na ni fapano kwa muñolo sina sandala ha bulezi 
220820-113505_loz_006_elicit_17	ziki hape a fumana liñolo la na kile a ñola nongolo kwa wankie ku bihela bashemi ba hae za buizamaeli bwa 
220820-113505_loz_006_elicit_18	njolo kuti mane ne ba batile ku kauhana 
220820-113505_loz_006_elicit_19	ziki a hi ni itumezi 
220820-113505_loz_006_elicit_20	ha fita fa mongu a ipiha ku mubusisi kuli u lumilwe ku zwa kwa libingi ku to tatuba taba ya nongolo 
220815-192827_loz_006_elicit_0	ba funduka kono nongolo a n2 a tantalika tantalika 
220815-192827_loz_006_elicit_1	ba sa sutelela feela kwa musindi kamuyongole a bulelela wa habo kuli ba silele ku sili kakuli kona ba ta fita kapili 
220815-192827_loz_006_elicit_2	nongolo na kozwi luli kuli kamuyongole na na ni ku mu zamaya mwa mulaho kuli a mu soteze ni ku mu sebeza hande 
220815-192827_loz_006_elicit_3	ha ba se ba fitile kwa musindi kamuyongole a talima kafa ni kafa mi ha kuna sa na boni konji feela bucwañi likota ni musindi 
220815-192827_loz_006_elicit_4	ka putako a nanula silamu tuna sa na iwezi a nata nongolo mwa likoshi ka mata a lilimo ze 21 kaufela 
220815-192827_loz_006_elicit_5	nongolo a wela fafasi a huwa iwa mafelelezo a li mawe se ni ku cezi kamu yongole mubupi u ta ku fa sona 
220815-192827_loz_006_elicit_6	kono a fumana kuli u ta zuha 
220815-192827_loz_006_elicit_7	ka pilu ya tau a itima fa meto ibe a mu pinda wa zebe ku mu feleleza 
220815-192827_loz_006_elicit_8	a feza ku eza musebezi o0 o maswe cwalo a hohela nongolo mwa sileze ni ku mu kwahela mwa teni 
220815-192827_loz_006_elicit_9	a tungisa kuli a sike a bonahala kapili 
220815-192827_loz_006_elicit_10	kamuyongole ya s a li mubulai wa niti a tapa mali ni ku tapisa liapalo za hae fo ne li lotezi 
220815-192827_loz_006_elicit_11	ki mali kona a mbwambwama mwa mezi ka bomu kuli a te a yo li na wezi mwa mezi ka baka la mutoho 
220815-192827_loz_006_elicit_12	ha felize zeo a ya kwa mota kono sabo ni lizwalo za mu swala ka tata kuli ni tutoho twa na nwile twa ku puma puma twa fela 
220815-192827_loz_006_elicit_13	muzamaisi a li kanti na na funduka ha ni koni ku bulaiseza batu tala mwa naheñi ka baka la sikuba silisinwi 
220815-192827_loz_006_elicit_14	a ki yo ya na ni ngana yena u kutile 
220815-192827_loz_006_elicit_15	njolo ha utwa cwalo a lila kono ha kuna ya ma ziba kuli wa silisa konji kamuyongole 
220815-192827_loz_006_elicit_16	u ka yo mi fumana ku yena munn a mina 
220815-192827_loz_006_elicit_17	ha ba fita fa mulobezi njolo a hana ku siala ku nyangela i li yena munyan a muzamaisi 
220815-192827_loz_006_elicit_18	a li bo nongolo ba ka yo ni fumana mwa libingi ku munyan a bona mwa komboni ya leluwe 
220815-192827_loz_006_elicit_19	mu ta ba zibisa cwalo 
220815-192827_loz_006_elicit_20	njolo ha kela fa mulobezi na sa iponisa ku swaba ka munn a hae kamuyongole na lelile ku to bata musebezi mwa libingi 
220815-192827_loz_006_elicit_21	mwa libingi a lemuha kuli ku na ni ba ba ka kona ku mu ziba 
220815-192827_loz_006_elicit_22	haili njolo yena na zibwa ki ba bañata kakuli na to potelanga mulamwae sipai 
220815-192827_loz_006_elicit_23	mi ñohola kona mwa na til o cela kilisimasi ku zwa kwa wankie 
220815-192827_loz_006_elicit_24	luli ba habo nongolo a ba koni ku timelelwa njolo mi ba sa mu bona feela ba ta tokwa ku bona ni nongolo 
220815-192827_loz_006_elicit_25	kamuyongole nihakulicwalo na si ka twaela naha bukuwa mi ku yena ha bona makomboni tuna a li ha ba na ku mu fumana ne ba ta ziba kuli ki yena ya wile mali a nongolo 
220815-192827_loz_006_elicit_26	njolo yena na ziba kuli kwa konahala ku swaliwa mi yena na kenezwi hahulu ki sabo 
220815-192827_loz_006_elicit_27	njolo a taluseza muhulwan a he kulobone kuli bo nongolo ba itangetile kakuli pumulo ya bona me se i felile 
220815-192827_loz_006_elicit_28	kulobone a lemuha kuli baenyi ba hae ne ba sa tabeli ku pota pota mwa taunu 
220815-192827_loz_006_elicit_29	kono ha se ku fitile mazazi a malalu kamuyongole a hupula ku yo bata bata musebezi mwa taunu 
220815-192827_loz_006_elicit_30	ha fita mwa mikwakwa ni masintolo a matuna ni buñata a ikoliswa kuli u ta ikola ku pila mwa taunu ni mulatiwa wa hae 
220815-192827_loz_006_elicit_31	ha nze a zamaya cwalo a bona kwa sintolo se si fa kaufi batu ba ba supa supa kwa na tahelela 
220815-192827_loz_006_elicit_32	ba bulela ka ku tiisa ba nze ba yemi ni mupokola 
220815-192827_loz_006_elicit_33	mupokola a liba ona kwa na tahelela kamuyongole a latelelwa ki munna ni mutangana 
220815-192827_loz_006_elicit_34	mupokola ha fita ku kamuyongole a li tioneni citupa canu bambo 
220815-192827_loz_006_elicit_35	mupokola foo na buza ka sinyanja kuli a bone situpa sa kamuyongole 
220815-192827_loz_006_elicit_36	kono kakuli kamuyongole na sa zibi sinyanja a alaba mupokola a li shaa mupokola a li u yankha ine kuti shaa iwe 
220815-192827_loz_006_elicit_37	wa cokela kuti mwa sinyanja ku bulla mutu kuli shaa kuti ki ku iwaha mi mupokola na halifile kakuli na sa zibi kuli mwa silozi ki ku alaba ka likute 
220815-192827_loz_006_elicit_38	kamuyongole a li ha ni utwire mu bulela 
220815-192827_loz_006_elicit_39	munna ya na zamaya ni mupokola a mu kupa kuli ba siye kamuyongole kakuli a ki yena ye ne ba tokwa 
220815-192827_loz_006_elicit_40	ne ba latelela mutu ya na uzwize mukotana wa yena munna yoo mwa na beile hembe ya na sa zo leka ni mali a likana lishumi ni masheleni a malalu ni tiki 
220815-192827_loz_006_elicit_41	kamuyongole na kenwi hahulu ki sabo mupokola a man o mu siya kakuli mane ku yena na li ki kale a swalwa 
220815-192827_loz_006_elicit_42	mwa pilu ya hae kwa taha mihupulo ye sipai haiba u zibana ni kulobone ni tuha ni swaleha hona fa 
220815-192827_loz_006_elicit_43	kakuli na ta lumela kuli nongolo u itangetile u ta fumana kuli ni yangile muhulwan a hae kapa ni bata ku eza cwalo 
220815-192827_loz_006_elicit_44	hape a sa ziba feela kuli u fitelezi u ta ñolela teni ku mu buza 
220815-192827_loz_006_elicit_45	ha na ku alabiwa mi kulobone u ta fumana kuli munyan a hac u mu pumile ha ize ni munyan a nongolo 
220815-192827_loz_006_elicit_46	kwa lusaka ha kuna ba ba mi ziba ha ni zibi kapa njolo u zibwa ki ba bañata kwa teni 
220815-192827_loz_006_elicit_47	mwendi ni lukela ku balehela kwa teni ni si ka wela kale mwa mazoho a mapokola 
220815-192827_loz_006_elicit_48	busihu kakuli ne ba lobala ndu ilinwi ka ha ne li mutu ni mulamwae ba lukisa za musipili wa ku ya kwa lusaka 
220815-192827_loz_006_elicit_49	kamuyongole kwa ku funduka ni kona kwa ba ni butata bo bunwi kakuli ne ba libelelwa ku ya kwa sitima se si ya mwa buse isini sa kwa mutulo 
220821-193526_loz_006_elicit_0	habusa a zibisa katekwe muhupulo wa hae 
220821-193526_loz_006_elicit_1	katekwe a taba hahulu kakuli ne ku lukisizwe kuli mboma a sa fita feela linyalo li sinyehe mi ku sinya linyalo ha se ku petahezi katekwe u ta ya kwa bukuwa ku kamuyongole 
220821-193526_loz_006_elicit_2	bubeli bwa bona ba ikoliswa luli kuli zeo li ta petahala 
220821-193526_loz_006_elicit_3	kamuyongole a zibisa hape punga za musipili wa hae 
220821-193526_loz_006_elicit_4	kamuyongole za musipili wa hae a se li lukile a hupula ku funduka busihu sina ha ne ili mukwa wa batu ka ku saba ku loiwa 
220821-193526_loz_006_elicit_5	mane na si ka laeza ba mwa hae 
220821-193526_loz_006_elicit_6	pili a si ka funduka kale a zibisa mulatiwa wa hae yo munwi ya na sa zibwi ki ba bañata 
220821-193526_loz_006_elicit_7	luli kamuyongole ne li wa meto a mañata kwa sizana 
220821-193526_loz_006_elicit_8	mulatiwa yo ne ili jesika 
220821-193526_loz_006_elicit_9	kakuli na si ka nyalwa sina katekwe jesika n a na ni sepo ye tezi kuli kamuyongole u ta mu nyala 
220821-193526_loz_006_elicit_10	ni yena a tabela hahulu muhupulo wa kamuyongole mi a mu sindeketa mane a yo mu fitisa fa mongu 
220821-193526_loz_006_elicit_11	jesika ya na sa zibwi ki sicaba a zibahala kamuyongole ha s a fundukile 
220821-193526_loz_006_elicit_12	katekwe ni yena a ziba kuli jesika u sindeketile kamuyongole 
220821-193526_loz_006_elicit_13	ha fita fa siteshini sa limota kamuyongole a fumana kuli mota ne i funduka habusa kono yena na na ni ku siala ni ba bañwi ba bañata ku fita bao ne i kona ku longa mota ka mulongelo u limuñwi 
220821-193526_loz_006_elicit_14	ha ba nze ba litela mota cwalo jesika a bona basizana ba bañwi ba ne ba ya kwa bukuwa ni banna ba bona 
220821-193526_loz_006_elicit_15	ba bañwi bona ne ba ya kwa banna ba bona ni ba ne ba ya feela ku yo pota 
220821-193526_loz_006_elicit_16	jesika ni yena a ikumbuta ku ya kwa njanji mi a bulelela kamuyongole kuli ni yena ha na ku siala 
220821-193526_loz_006_elicit_17	luli hakuna ya hulile ya kona ku pila a sina musali kono haiba a tokwahala musali u lukela ku ketiwa ka toko melo luli mi hape ili wa linyalo 
220821-193526_loz_006_elicit_18	punga hape na mu elelize ku saba za batu ni ku ambuka lindwa 
220821-193526_loz_006_elicit_19	kamuyongole a hupula likelezo za muhulwan a hae 
220821-193526_loz_006_elicit_20	a fumana kuli a ku konahali kuli a ye ni jesika kwa bukuwa kakuli na si ka lukisa ku mu nyala 
220821-193526_loz_006_elicit_21	hape me ta ba ku mu tobisa feela bashemi ba hae ba sa zibi 
220821-193526_loz_006_elicit_22	ka mazazi a ne ba inzi fa siteshini sa limota jesika ni kamuyongole ba pila inge mutu ni munn a hae 
220821-193526_loz_006_elicit_23	ha na nze a litela mota walo mazazinyana kamuyongole a ipumana kuli ku na ni musali ya na mu kena mwa pilu hahulu ili ya bizwa njolo musal a nongolo 
220821-193526_loz_006_elicit_24	kamuyongole a lemuha kuli jolo u mwa pilu ya hae nako kaufela mi lilato 
220821-193526_loz_006_elicit_25	ku jesika ne li se li shengunuka ni haike na sa zibi kuli haiba a ta posa manzwi ku njolo u ta alaba cwañi 
220821-193526_loz_006_elicit_26	kamuyongole a fumana hape kuli na ta amuhela kalabo ya na bata hakuna tuso kakuli nongolo nako kaufela u inzi ni musal a hae 
220821-193526_loz_006_elicit_27	sabo i tiswa ki ku tokwa takazo 
220821-193526_loz_006_elicit_28	kono ka ku hupula kuli kamuyongole ni yena u nyezi ba twaclana ka bunolo 
220821-193526_loz_006_elicit_29	zazi lei funduka mota jesika a lila ni ku lika ku tulela mwa mota 
220821-193526_loz_006_elicit_30	kono kamuyongole a nyema ha bona cwalo ni ku mu bulelela kuli a ki musal a hae mi ha koni ku ya ni yena 
220821-193526_loz_006_elicit_31	nongolo wale a lemuha kuli kanti kamuyongole ki likwasha 
220821-193526_loz_006_elicit_32	hape a lemuha kuli kamuyongole ki mushimani yo munde ka sibupeho ku mu fita 
220821-193526_loz_006_elicit_33	ha man o nahana zeo kaufela lifufa la hae la hula ka tata 
220821-193526_loz_006_elicit_34	mota ha i funduka kamuyongole a talima libala la ngula iwa mafelelezo 
220821-193526_loz_006_elicit_35	a talima kwa mutulo mi kalalo ka habo ka bonahala mwa libala ka bonahala buseta kakuli ka inzi hulenyana ni mongu 
220821-193526_loz_006_elicit_36	ha kutisa meto a bona jesika a sa tezi mioko ya lilato mwa meto a mu shwela makeke mi a utwa lilato la kale li mu apesa 
220821-193526_loz_006_elicit_37	kono pili a si ka mu bulelisa mota ya hona 
220821-193526_loz_006_elicit_38	batu ba ne ba sindeketite ba habo bona ba kala ku huweleza mu zamaye foo 
220821-193526_loz_006_elicit_39	mu yo lu kutela mulimu ha lata 
220821-193526_loz_006_elicit_40	mu no yo nolanga 
220821-193526_loz_006_elicit_41	mu yo lumelisa bo ngete 
220821-193526_loz_006_elicit_42	kamuyongole a funduka fa mongu ka la 5 kandao 1945 
220821-193526_loz_006_elicit_43	a zamaya a nze a nahana kuli zazi a ta kuta u ta taha ni ponkisi ye tezi libiana za hae ni za ka yo lekela ba ba lateha ku yena 
220821-193526_loz_006_elicit_44	mota ha sei matile musipili wa libima ze 141 ba fita fa nkambe ya mankoya 
220821-193526_loz_006_elicit_45	fa nkambe yeo kamuyongole a fumana batu ba ba lekisa ndongo 
220821-193526_loz_006_elicit_46	mwanja wa lutenda ni wa ngungule ngulu ni mulaba maheu a eziwa fa mibisi ya simela se si bizwa mulaba ni bupi kapa mase 
220821-193526_loz_006_elicit_47	a tabela hahulu lico ze mi a hupula fa mongu foo babeleki ba na ni butata bwa ku fumana lico 
220821-193526_loz_006_elicit_48	mota ya yema nakonyana feela ku nga poso ba zwela pili 
220821-193526_loz_006_elicit_49	nako yeo kaufela kamuyongole a pumana kuli njolo u mwa mihupulo ya hae kaufela 
220821-215724_loz_006_elicit_0	a punyehela mwa munzi o bizwa lukena ili wa mwene mutondo 
220821-215724_loz_006_elicit_1	na sa zibi kuli munzi woo ki ufi mi ki wa mañi 
220821-215724_loz_006_elicit_2	a bona musali kwa mandamino mi a liba ku yena ku buza kuli munzi wo ki wa mañi 
220821-215724_loz_006_elicit_3	a man o ziba kuli ki wa mulena mutondo a buza kwa ndu ya kapaso yo muhulu 
220821-215724_loz_006_elicit_4	kamuyongole a man o bonana ni ngobi kapaso yo muhulu a talusa kuli ki mesinja ya lumilwe ki mubusisi ku to telisa 
220821-215724_loz_006_elicit_5	ngobi na zibana hahulu ni bo mesinja ba kwa nkambe kaufela kono munna yo na sa mu zibi 
220821-215724_loz_006_elicit_6	kapili a lemuha kuli ki lisholi ya na bata fecla ku puma batu mubusisi a sike a luma mesinja yo munca ku to telisa a linosi 
220821-215724_loz_006_elicit_7	ka litohonolo hape ona mwa muleneni moo ne ku na ni bo mesinja ba balalu ba ne ba lumilwe ki 
220821-215724_loz_006_elicit_8	mubusisi ku to tusa batu ba muleneñi ku ba zumela litau ze ne ba kataza 
220821-215724_loz_006_elicit_9	ngobi a li ku muenyi wa ha ni itumezi ndate ku ziba kuli mu batu ba muso 
220821-215724_loz_006_elicit_10	ni na kona mo ni yambaelelanga ona cwalo ha mi lumilwe 
220821-215724_loz_006_elicit_11	mu mi litele mi sa yo biza musal a ka a to mi ezeza lico 
220821-215724_loz_006_elicit_12	ngobi a man o yema kamuyongole a li kota ye mezi ha ikweli 
220821-215724_loz_006_elicit_13	ha ni ta zwa fa hape ni yo puma basili mane ni punyuhe ha ni ta yo yema haisi kwa buputukisi 
